Unnamed: 0,微博id,发布者姓名,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,nb_interactivity,date,text_preprocessed,positive_prob,negative_prob,confidence,sentiment,error_sentiment,if_大V,if_官媒,if_自媒,if_个人用户
0.0,IAxdgqMj3,江南剑心2,男,天津,738,3529,江南剑心2:天津境外输入病例更新至第19例，累计收治155例。天津疑似89例，很可能会有个别确诊。境外输入的性别年龄分布更新在图里。来源国美6英7法4瑞士1加拿大1。#浙江新增1例本土病例# 说是境外相关病例来源不讲清楚让人无端恐慌。相信暂停外籍入境、民航“五个一”限航政策会减轻部分压力。#最新疫情地图#  原图 ,无,无,2020-03-27 13:04:00,专业版微博,3,1,3,8,2020-03-27 00:00:00,天津境外输入病例更新至第19例，累计收治155例。天津疑似89例，很可能会有个别确诊。境外输入的性别年龄分布更新在图里。来源国美6英7法4瑞士1加拿大1。浙江新增1例本土病例 说是境外相关病例来源不讲清楚让人无端恐慌。相信暂停外籍入境、民航五个一限航政策会减轻部分压力。最新疫情地图 原图,0.928875,0.0711252,0.841944,2,0,,,,
1.0,IApwPyXzV,金溪发布,男,江西,147,313049,金溪发布:【谢祖鹏深入金溪开展“两宣一帮”活动】3月25日下午，市人大常委会副主任谢祖鹏深入金溪挂点的企业开展形势宣传、政策宣讲、“一对一”帮扶的“两宣一帮”活动，调研指导挂点企业复工复产复建工作。县人大常委会主任王树标，县人大常委会副主任王贡明参加活动。谢祖鹏先后来到县工业园区伏羲香精、思派思香料两家企业详细了解企业的生产经营情况，并就当前企业遇到的困难现场协调解决。谢祖鹏希望金溪要扎实开展好“两宣一帮”活动，强化帮扶措施，营造良好氛围，千方百计帮助企业解决用工、资金、供应链等实际困难；要采取针对性措施，实行“一厂一策”“一企一策”和项目建设“五个一”推进机制，帮助企业解决实际难题，促进企业全面达产达标；要切实落实好中央和省、市应对疫情出台的各项优惠政策，帮助企业享政策、减负担、解难题、达产能、扩市场，确保今年经济社会发展目标任务全面实现；与此同时，企业要充分考虑海外疫情对市场带来的影响，及时调整产品结构和销售策略，主动适应市场供需变化，科学调配生产要素，迅速达产达效。 ,无,无,2020-03-26 17:30:00,360安全浏览器,6,4,0,11,2020-03-26 00:00:00,谢祖鹏深入金溪开展两宣一帮活动3月25日下午，市人大常委会副主任谢祖鹏深入金溪挂点的企业开展形势宣传、政策宣讲、一对一帮扶的两宣一帮活动，调研指导挂点企业复工复产复建工作。县人大常委会主任王树标，县人大常委会副主任王贡明参加活动。谢祖鹏先后来到县工业园区伏羲香精、思派思香料两家企业详细了解企业的生产经营情况，并就当前企业遇到的困难现场协调解决。谢祖鹏希望金溪要扎实开展好两宣一帮活动，强化帮扶措施，营造良好氛围，千方百计帮助企业解决用工、资金、供应链等实际困难；要采取针对性措施，实行一厂一策一企一策和项目建设五个一推进机制，帮助企业解决实际难题，促进企业全面达产达标；要切实落实好中央和省、市应对疫情出台的各项优惠政策，帮助企业享政策、减负担、解难题、达产能、扩市场，确保今年经济社会发展目标任务全面实现；与此同时，企业要充分考虑海外疫情对市场带来的影响，及时调整产品结构和销售策略，主动适应市场供需变化，科学调配生产要素，迅速达产达效。,0.8202959999999999,0.179704,0.600658,2,0,,,,
2.0,IAOZaxhUx,FATIII,男,其他,772,3341268,FATIII:【何日君再来】五个一政策开始实施，今天的CZ344航班起飞后，中国航司客运航班将全部暂别墨尔本机场。一月中最鼎盛的时候，南航在墨尔本每天有三个航班直航广州，其中包括一个A380航班。 图@iConstellation  [组图共5张] 原图 ,无,无,2020-03-29 10:19:00,iPhone客户端,103,8,36,148,2020-03-29 00:00:00,何日君再来五个一政策开始实施，今天的CZ344航班起飞后，中国航司客运航班将全部暂别墨尔本机场。一月中最鼎盛的时候，南航在墨尔本每天有三个航班直航广州，其中包括一个A380航班。 图 原图,0.735308,0.264692,0.41179499999999997,2,0,,,,
3.0,IAOFlipXH,雨树及胖胖日常笔记,男,广东,24,1279,雨树及胖胖日常笔记:20200329  疫情下的日常五十六：中国28日零时起限制外国人入境；29号开始国际航班只能保留一个航空公司一个国家一条航线，每一周只能飞一个航班（五个一政策）；俄罗斯宣布30号起限制汽车、铁路及其他口岸的过境；美国宣布17个州或地区为应对疫情“灾难状态”。国内的状况已开始好转，滞留在国外的中国人现在想回国真是难上加难了，因为航班越来越少一票难求、各个国家又相继关闭口岸，真像一盘陷入僵局的死棋，要如何才能破局。 [组图共6张] 原图 ,无,无,2020-03-29 09:30:00,华为P9手机摄影再突破,1,0,2,4,2020-03-29 00:00:00,20200329 疫情下的日常五十六：中国28日零时起限制外国人入境；29号开始国际航班只能保留一个航空公司一个国家一条航线，每一周只能飞一个航班五个一政策；俄罗斯宣布30号起限制汽车、铁路及其他口岸的过境；美国宣布17个州或地区为应对疫情灾难状态。国内的状况已开始好转，滞留在国外的中国人现在想回国真是难上加难了，因为航班越来越少一票难求、各个国家又相继关闭口岸，真像一盘陷入僵局的死棋，要如何才能破局。 原图,0.036073,0.9639270000000001,0.9198379999999999,0,0,,,,
4.0,IAL9dc6Sd,Ashidoo,男,天津,204,244,Ashidoo:我妈一直焦虑美国的疫情，每天都要给我打好久的电话。刚才终于达成一致，现在五个一政策下，回国飞机实在是太不安全了，还是老老实实呆家不出门最好。 （虽然这一年半没怎么做饭，但是厨艺恢复的还是比较快的  原图 ,无,无,2020-03-29 00:32:00,iPhone,9,0,13,23,2020-03-29 00:00:00,我妈一直焦虑美国的疫情，每天都要给我打好久的电话。刚才终于达成一致，现在五个一政策下，回国飞机实在是太不安全了，还是老老实实呆家不出门最好。 虽然这一年半没怎么做饭，但是厨艺恢复的还是比较快的 原图,0.796773,0.203227,0.548385,2,0,,,,
5.0,IAHaxFivL,梦回k44,男,北京,596,842,梦回k44:#终于想起自己身份的航空博主# 昨天晚上，在留学生回国互助群里，有一个同学的航班在“五个一政策”中幸免，准备回家了，激动了发了个红包。这份欧气拿出来跟大家分享一下吧！ 梦回k44 的红包  ,无,无,2020-03-28 14:25:00,小米MIX 2 全面屏手机,4,0,4,9,2020-03-28 00:00:00,终于想起自己身份的航空博主 昨天晚上，在留学生回国互助群里，有一个同学的航班在五个一政策中幸免，准备回家了，激动了发了个红包。这份欧气拿出来跟大家分享一下吧！ 梦回k44 的红包,0.994326,0.00567361,0.987392,2,0,,,,
6.0,IAGr8faV7,FATIII,男,其他,772,3341268,FATIII:【未来数周中国航司国际航线安排汇总】总结了一下截至中午12时，各航司已经披露的按照民航局「五个一」政策发布的未来数周国际航线计划，其中上海浦东占33条，北京首都占20条，广州白云14条，厦门高崎9条。在未来一个多月里，许多中国的「国际」机场都将暂时化身「国内」机场。不过这样的安排也确实存在一些问题，建议民航局还需要做一些协调。以澳大利亚为例，3家航司都将航点选在了悉尼，同为大线的墨尔本无人问津，没有考虑许多滞留在墨尔本的留学生和同胞的实际需求。美国西岸也存在同样的问题，三家航司全部集中在洛杉矶，同样为华人大城旧金山无人问津。其实一周一班的密度下，航司根本不愁上座率和收益，适当协调一下航线能更符合实际需要。 [组图共3张] 原图 ,无,无,2020-03-28 12:33:00,微博 weibo.com,525,73,176,775,2020-03-28 00:00:00,未来数周中国航司国际航线安排汇总总结了一下截至中午12时，各航司已经披露的按照民航局「五个一」政策发布的未来数周国际航线计划，其中上海浦东占33条，北京首都占20条，广州白云14条，厦门高崎9条。在未来一个多月里，许多中国的「国际」机场都将暂时化身「国内」机场。不过这样的安排也确实存在一些问题，建议民航局还需要做一些协调。以澳大利亚为例，3家航司都将航点选在了悉尼，同为大线的墨尔本无人问津，没有考虑许多滞留在墨尔本的留学生和同胞的实际需求。美国西岸也存在同样的问题，三家航司全部集中在洛杉矶，同样为华人大城旧金山无人问津。其实一周一班的密度下，航司根本不愁上座率和收益，适当协调一下航线能更符合实际需要。 原图,0.230573,0.7694270000000001,0.487616,0,0,,,,
7.0,IAFjfarmn,一轮织围脖,男,江苏,456,401,一轮织围脖:梳理了一下回国的机票订购历史，真是波澜起伏，1. 6月15日，MU572 火奴鲁鲁-上海，MU2882 上海-南京这趟航班是去年11月就购买的，时间和DS2019表结束的时间一致，也是我们之前往返都乘坐的航班。但是2月12日，东航通知，因为疫情原因航班取消。2. 5月20日，OZ231 火奴鲁鲁-首尔，OZ349 首尔-南京东航的航班取消之后，就买了这趟航班作为替代品，当时这个时间是按照出国满1年的标准来定的，觉得5月应该全世界都平稳了，没想到疫情后来发展的这么快。因为提前回国，所以这个航班也作废了。3. 3月31日，CI1 火奴鲁鲁-台北，CI503 台北-上海3月初的时候，疫情在美国开始出现，但是夏威夷还没有确诊病例。不过我们也有了提前回国的想法，当时航空公司开始削减航班，考虑到韩国和日本都比较危险，就定了从台北转机的票。买之前还和中华航空北美公司、桃园机场、台北检验检疫处打过电话，确认我们可以转机。后来又听说台北中转有人出不了登机牌，由打电话给了中华航空台湾，那边就说不能转。看来华航内部口径也不统一，考虑到稳妥起见，决定退票重新买其他航班。后来，台北就禁止转机，这个航班最终也是不能成行的。4. 3月29日，DL1212 火奴鲁鲁-洛杉矶，MU586 洛杉矶-上海当时考虑中国的航空公司的直飞航班应该最保险，不会从在不能转机的问题，高价购买了洛杉矶-上海的机票。当时买这个航班也很纠结，到了洛杉矶之后还要换航站楼，很麻烦。为了降低被感染的风险，达美的航班特地买了头等舱，东航的航班积分兑换了第一排的座位。没想到3月17日，东航发布通知取消了3月25、27、29的MU586航班，虽然我们的航班也没被取消，我们也感到很不安心，所以觉得再次提前。事实上，这个选择是正确的，如果继续等这趟航班走，按照最新的通知，MU586被全部取消，我们就没法回来了。5. 3月27日，KE054 火奴鲁鲁-首尔，MU580 首尔-南京临时决定提前，这个票就很难买了，最后就找到了这趟去南京的。提前2天走，要是能走就把东航的机票退了。没想到了东航进一步削减了航班，MU580只保留了一周2班，我们的航班就在被取消之列，3月23日得到了通知。那个通知真是如晴天霹雳一般，感觉回国很不保险了。6. 3月25日，KE002 火奴鲁鲁-首尔，MU580 首尔-南京意外的刷出了这趟航班，虽然后面的日期也有类似的行程，但是感觉政策变化太多，越早走越好，就买了这趟。后来发现这个选择太正确了，在我们到达首尔的晚上，看到民航局出了五个一通知，之前作为备选方案的MU586最终也是被取消了。回国之后，感叹祖国的防疫措施很认真负责，工作人员都很辛苦，我们也是完全服从安排隔离，如实汇报健康历史，每次更改行程都及时通知网格长和单位，希望全球的疫情能早点结束。 ,无,无,2020-03-28 09:41:00,微博 weibo.com,2,0,2,5,2020-03-28 00:00:00,梳理了一下回国的机票订购历史，真是波澜起伏，1 6月15日，MU572 火奴鲁鲁上海，MU2882 上海南京这趟航班是去年11月就购买的，时间和DS2019表结束的时间一致，也是我们之前往返都乘坐的航班。但是2月12日，东航通知，因为疫情原因航班取消。2 5月20日，OZ231 火奴鲁鲁首尔，OZ349 首尔南京东航的航班取消之后，就买了这趟航班作为替代品，当时这个时间是按照出国满1年的标准来定的，觉得5月应该全世界都平稳了，没想到疫情后来发展的这么快。因为提前回国，所以这个航班也作废了。3 3月31日，CI1 火奴鲁鲁台北，CI503 台北上海3月初的时候，疫情在美国开始出现，但是夏威夷还没有确诊病例。不过我们也有了提前回国的想法，当时航空公司开始削减航班，考虑到韩国和日本都比较危险，就定了从台北转机的票。买之前还和中华航空北美公司、桃园机场、台北检验检疫处打过电话，确认我们可以转机。后来又听说台北中转有人出不了登机牌，由打电话给了中华航空台湾，那边就说不能转。看来华航内部口径也不统一，考虑到稳妥起见，决定退票重新买其他航班。后来，台北就禁止转机，这个航班最终也是不能成行的。4 3月29日，DL1212 火奴鲁鲁洛杉矶，MU586 洛杉矶上海当时考虑中国的航空公司的直飞航班应该最保险，不会从在不能转机的问题，高价购买了洛杉矶上海的机票。当时买这个航班也很纠结，到了洛杉矶之后还要换航站楼，很麻烦。为了降低被感染的风险，达美的航班特地买了头等舱，东航的航班积分兑换了第一排的座位。没想到3月17日，东航发布通知取消了3月25、27、29的MU586航班，虽然我们的航班也没被取消，我们也感到很不安心，所以觉得再次提前。事实上，这个选择是正确的，如果继续等这趟航班走，按照最新的通知，MU586被全部取消，我们就没法回来了。5 3月27日，KE054 火奴鲁鲁首尔，MU580 首尔南京临时决定提前，这个票就很难买了，最后就找到了这趟去南京的。提前2天走，要是能走就把东航的机票退了。没想到了东航进一步削减了航班，MU580只保留了一周2班，我们的航班就在被取消之列，3月23日得到了通知。那个通知真是如晴天霹雳一般，感觉回国很不保险了。6 3月25日，KE002 火奴鲁鲁首尔，MU580 首尔南京意外的刷出了这趟航班，虽然后面的日期也有类似的行程，但是感觉政策变化太多，越早走越好，就买了这趟。后来发现这个选择太正确了，在我们到达首尔的晚上，看到民航局出了五个一通知，之前作为备选方案的MU586最终也是被取消了。回国之后，感叹祖国的防疫措施很认真负责，工作人员都很辛苦，我们也是完全服从安排隔离，如实汇报健康历史，每次更改行程都及时通知网格长和单位，希望全球的疫情能早点结束。,0.0,0.0,0.0,1,0,,,,
8.0,IB9SappTY,马鞍山慈湖高新技术产业开发区,男,安徽,86,694,马鞍山慈湖高新技术产业开发区:【慈湖高新区开展“复工达产服务月”活动，助力企业项目加快复工达产】为贯彻落实国家、省、市统筹推进疫情防控和经济社会发展的各项决策部署，加快推进高新区企业项目复工达产，高新区将在4月份开展“复工达产服务月”活动。慈湖高新区创新工作模式，利用“集中活动月”形式，提出帮助企业复工达产“五个一”，即深度开展一次政策宣贯活动、切实解决一批企业发展难题、及时兑现一批企业扶持资金、着力搭建一个综合服务平台、分类组织一次要素对接活动，由管委会领导领衔、职能部门包保，采取“普惠活动”和“定制服务”相结合模式，做到分类别、多层次、全覆盖，为企业提供精准、高效的“菜单式”服务，真正实现送服务到企业，从融资、用工、销售等方面开展对接活动，切实解决企业在应对疫情复工达产期间遇到的困难和问题。近年来，慈湖高新区坚持服务走在需要前、调度打好提前量、要素保到关键处，不断优化营商环境，提升企业服务水平，扎实推进“四送一服”双千工程，对标南京、苏州等长三角先发园区，不断加大改革创新力度，努力创建审批事项最少、办事效率最高、投资环境最优、客商获得感最强的“四最”营商环境示范区。 ,无,无,2020-03-31 15:29:00,微博 weibo.com,0,0,0,1,2020-03-31 00:00:00,慈湖高新区开展复工达产服务月活动，助力企业项目加快复工达产为贯彻落实国家、省、市统筹推进疫情防控和经济社会发展的各项决策部署，加快推进高新区企业项目复工达产，高新区将在4月份开展复工达产服务月活动。慈湖高新区创新工作模式，利用集中活动月形式，提出帮助企业复工达产五个一，即深度开展一次政策宣贯活动、切实解决一批企业发展难题、及时兑现一批企业扶持资金、着力搭建一个综合服务平台、分类组织一次要素对接活动，由管委会领导领衔、职能部门包保，采取普惠活动和定制服务相结合模式，做到分类别、多层次、全覆盖，为企业提供精准、高效的菜单式服务，真正实现送服务到企业，从融资、用工、销售等方面开展对接活动，切实解决企业在应对疫情复工达产期间遇到的困难和问题。近年来，慈湖高新区坚持服务走在需要前、调度打好提前量、要素保到关键处，不断优化营商环境，提升企业服务水平，扎实推进四送一服双千工程，对标南京、苏州等长三角先发园区，不断加大改革创新力度，努力创建审批事项最少、办事效率最高、投资环境最优、客商获得感最强的四最营商环境示范区。,0.99671,0.00328967,0.99269,2,0,,,,
9.0,IB8B00SkA,广州新闻电台FM962,男,广东,132,265561,广州新闻电台FM962:#抗疫最前线# 【境外输入新冠肺炎确诊病例超700例   如何防范新的输入风险？】        我国国内疫情防控形势持续向好，但随着境外疫情持续升级，境外输入确诊病例持续增加，截至3月29日已超过700例。如何防控新风险产生，有效防范疫情经口岸跨境传播？国务院联防联控机制3月30日举行新闻发布会，从口岸防控、航班变化、来华签证等多个方面介绍我国依法防控境外疫情输入最新情况。    对入境人员和货物采取哪些防控措施？    口岸通行重点把好4道关    全球新冠肺炎累计确诊病例突破70万，境外输入病例不断增多，“外防输入”已成为当下疫情防控重点工作之一。相关部门对通过口岸入境的人员和货物采取了哪些防控措施？    近日，外交部和国家移民管理局联合发布公告，对来华外国人入境采取一定的限制措施，同时建议我国公民尽量减少不必要、非需要的出入境活动。    交通运输部国际合作司司长李扬介绍，我国有65个开通国际道路运输的口岸，其中34个仍保持开放状态，其余口岸已经关闭。    “目前34个口岸也只是开通货运服务，暂停道路客运。”李扬表示，交通运输部已于3月30日下发通知，要求做好陆路、水路口岸防控工作，重点把好4道关：    ——第一把好口岸关。继续暂停所有公路口岸的国际旅客运输服务，对于已经关闭的旅客运输口岸继续关闭，对于港澳方向关闭的直通道路运输继续暂停。    ——第二把好司乘人员关。现在每天有2000名司乘人员从34个口岸入境，通过港澳进入内地的司乘人员约8000人。所有入境的外籍司机原则上当天返回，对于国内从事国际运输的司机，要求备案管理，定期进行核酸检测。    ——第三严把转运关。目前还有一些省区市，例如广西、黑龙江等，每天尚有100名我国公民持护照入境，需要接送转运回国内指定地点。要求所有转运车辆严格消毒，密切掌握人员动态信息。    ——第四把好信息关。对通过各种渠道入境人员的信息和转运信息实现全覆盖、全闭环、可追溯，与卫健、边检、检疫、海关等部门做好信息共享。    海关总署卫生检疫司副司长宋悦谦介绍，已通过加强口岸卫生检疫、优化入境通关流程、与地方携手实现闭环管理等措施，坚决遏制疫情通过口岸扩散蔓延。    如何降低疫情从水路输入风险？    128个水运口岸暂停客运服务    水运对于国际运输、国际贸易至关重要，约95％以上的国际货物经水路运输。如何在保障国际经济交往的同时，降低疫情从水路输入的风险？    李扬说，目前每天进入中国的国际货运船舶约为500艘次，在岗船员7000人。在船员防控工作上，要求船员没有得到批准不允许上岸，要求所有的外国籍船舶不得在中国换班外籍船员，减少输入风险。    在旅客航线方面，我国正式开放的水运口岸共128个，目前已全部暂停旅客运输服务，包括中日、中韩从事旅客运输的14个口岸。大陆与台湾、内地与港澳间的旅客运输航线，也全部处于暂停状态。    “港口部门应做好疫情输入防控工作，尽量减少登临船舶作业，及时与海关、边检沟通信息。”李扬表示，所有国际航行船舶预计到达中国港口口岸48小时前，必须做好信息申报，提前报告船员健康状况。    交通运输部海事局27日发布的《船舶船员新冠肺炎疫情防控操作指南（V2.0）》，从船舶境外港口停泊作业、船舶自身防疫措施到船员防护等方面向国际社会分享了中国的经验。指南特别要求，如果船上人员出现发烧、咳嗽等症状，船长应第一时间向港口检验部门报告，在其指导下采取积极防控措施。    宋悦谦表示，当判定船上载有确诊病例、疑似病例、有症状者或无症状病例时，海关将对船舶进行彻底消毒，对船上废弃物实施无害化处理，同时密切关注船上人员身体健康状况。    航班减少，如何解决境外公民需求？    视情启动重大航空运输保障机制    空中航线加速了全球人员流动，是防境外输入风险的关键一环。民航局日前出台了调减国际客运航班的“五个一”新政策，即1家航空公司在1个国家内保留1条航线，1周不超过1班。    新政策实施效果如何？中国民用航空局运输司二级巡视员靳军号说，从3月29日到4月4日，计划航班量仅为108班。这个数字仅相当于疫情暴发前全国国际客运航班总量的1.2％，相比上一周的734班又减少85.3％，总体呈加速递减趋势。    新政同时要求入境国际航班客座率不超过75％。靳军号说，3月29日到4月4日这一周，预计通过航空口岸入境的人员日均从2.5万人下降到4000人左右。    航班量大幅减少，如何妥善解决境外我国公民，特别是留学生的需求？靳军号表示，这个递减过程对这部分群体影响比较大，因此这段时间虽然航班递减，但客座率是上升状态。按照国家加强对境外我国公民关心关爱的总体部署，民航局对需求集中、飞行目的地有接收保障能力的城市，会视情启动重大航空运输保障机制，也有能力及时开通临时加班和包机。    多项新举措已合力显示防控实效。比如，根据最新版的防控技术指南，对于高风险航班，我国在登机前和飞机上对全部旅客进行体温检测。据统计，从3月19日到29日，国内航空公司已劝阻443名已有发热症状的旅客从境外登机。通过飞机上的检测，对1626名旅客采取了客舱内的隔离措施，并在落地后移交海关检疫部门。    对目的地为北京的国际航班，在调整为从指定的12个第一入境点入境后，截至3月29日已累计调整航班总量100班，涉及23157名旅客。其中，在第一入境点经过检疫之后不符合条件留置的旅客达19207人，留置的比例达到82.9％。    靳军号表示，从这个比例来看，这项政策初衷已达到，极大地降低了北京口岸境外疫情输入的风险。新华社北京3月30日电 ,无,无,2020-03-31 12:14:00,iPhone客户端,0,0,0,1,2020-03-31 00:00:00,抗疫最前线 境外输入新冠肺炎确诊病例超700例 如何防范新的输入风险？ 我国国内疫情防控形势持续向好，但随着境外疫情持续升级，境外输入确诊病例持续增加，截至3月29日已超过700例。如何防控新风险产生，有效防范疫情经口岸跨境传播？国务院联防联控机制3月30日举行新闻发布会，从口岸防控、航班变化、来华签证等多个方面介绍我国依法防控境外疫情输入最新情况。 对入境人员和货物采取哪些防控措施？ 口岸通行重点把好4道关 全球新冠肺炎累计确诊病例突破70万，境外输入病例不断增多，外防输入已成为当下疫情防控重点工作之一。相关部门对通过口岸入境的人员和货物采取了哪些防控措施？ 近日，外交部和国家移民管理局联合发布公告，对来华外国人入境采取一定的限制措施，同时建议我国公民尽量减少不必要、非需要的出入境活动。 交通运输部国际合作司司长李扬介绍，我国有65个开通国际道路运输的口岸，其中34个仍保持开放状态，其余口岸已经关闭。 目前34个口岸也只是开通货运服务，暂停道路客运。李扬表示，交通运输部已于3月30日下发通知，要求做好陆路、水路口岸防控工作，重点把好4道关： 第一把好口岸关。继续暂停所有公路口岸的国际旅客运输服务，对于已经关闭的旅客运输口岸继续关闭，对于港澳方向关闭的直通道路运输继续暂停。 第二把好司乘人员关。现在每天有2000名司乘人员从34个口岸入境，通过港澳进入内地的司乘人员约8000人。所有入境的外籍司机原则上当天返回，对于国内从事国际运输的司机，要求备案管理，定期进行核酸检测。 第三严把转运关。目前还有一些省区市，例如广西、黑龙江等，每天尚有100名我国公民持护照入境，需要接送转运回国内指定地点。要求所有转运车辆严格消毒，密切掌握人员动态信息。 第四把好信息关。对通过各种渠道入境人员的信息和转运信息实现全覆盖、全闭环、可追溯，与卫健、边检、检疫、海关等部门做好信息共享。 海关总署卫生检疫司副司长宋悦谦介绍，已通过加强口岸卫生检疫、优化入境通关流程、与地方携手实现闭环管理等措施，坚决遏制疫情通过口岸扩散蔓延。 如何降低疫情从水路输入风险？ 128个水运口岸暂停客运服务 水运对于国际运输、国际贸易至关重要，约95％以上的国际货物经水路运输。如何在保障国际经济交往的同时，降低疫情从水路输入的风险？ 李扬说，目前每天进入中国的国际货运船舶约为500艘次，在岗船员7000人。在船员防控工作上，要求船员没有得到批准不允许上岸，要求所有的外国籍船舶不得在中国换班外籍船员，减少输入风险。 在旅客航线方面，我国正式开放的水运口岸共128个，目前已全部暂停旅客运输服务，包括中日、中韩从事旅客运输的14个口岸。大陆与台湾、内地与港澳间的旅客运输航线，也全部处于暂停状态。 港口部门应做好疫情输入防控工作，尽量减少登临船舶作业，及时与海关、边检沟通信息。李扬表示，所有国际航行船舶预计到达中国港口口岸48小时前，必须做好信息申报，提前报告船员健康状况。 交通运输部海事局27日发布的船舶船员新冠肺炎疫情防控操作指南V20，从船舶境外港口停泊作业、船舶自身防疫措施到船员防护等方面向国际社会分享了中国的经验。指南特别要求，如果船上人员出现发烧、咳嗽等症状，船长应第一时间向港口检验部门报告，在其指导下采取积极防控措施。 宋悦谦表示，当判定船上载有确诊病例、疑似病例、有症状者或无症状病例时，海关将对船舶进行彻底消毒，对船上废弃物实施无害化处理，同时密切关注船上人员身体健康状况。 航班减少，如何解决境外公民需求？ 视情启动重大航空运输保障机制 空中航线加速了全球人员流动，是防境外输入风险的关键一环。民航局日前出台了调减国际客运航班的五个一新政策，即1家航空公司在1个国家内保留1条航线，1周不超过1班。 新政策实施效果如何？中国民用航空局运输司二级巡视员靳军号说，从3月29日到4月4日，计划航班量仅为108班。这个数字仅相当于疫情暴发前全国国际客运航班总量的12％，相比上一周的734班又减少853％，总体呈加速递减趋势。 新政同时要求入境国际航班客座率不超过75％。靳军号说，3月29日到4月4日这一周，预计通过航空口岸入境的人员日均从25万人下降到4000人左右。 航班量大幅减少，如何妥善解决境外我国公民，特别是留学生的需求？靳军号表示，这个递减过程对这部分群体影响比较大，因此这段时间虽然航班递减，但客座率是上升状态。按照国家加强对境外我国公民关心关爱的总体部署，民航局对需求集中、飞行目的地有接收保障能力的城市，会视情启动重大航空运输保障机制，也有能力及时开通临时加班和包机。 多项新举措已合力显示防控实效。比如，根据最新版的防控技术指南，对于高风险航班，我国在登机前和飞机上对全部旅客进行体温检测。据统计，从3月19日到29日，国内航空公司已劝阻443名已有发热症状的旅客从境外登机。通过飞机上的检测，对1626名旅客采取了客舱内的隔离措施，并在落地后移交海关检疫部门。 对目的地为北京的国际航班，在调整为从指定的12个第一入境点入境后，截至3月29日已累计调整航班总量100班，涉及23157名旅客。其中，在第一入境点经过检疫之后不符合条件留置的旅客达19207人，留置的比例达到829％。 靳军号表示，从这个比例来看，这项政策初衷已达到，极大地降低了北京口岸境外疫情输入的风险。新华社北京3月30日电,0.0,0.0,0.0,1,0,,,,
